text
Stass Allie => Stass Allie is a Tholothian Jedi Master and the cousin of Adi Gallia. Allie is one of the many victims of Order 66. She was initially planned to die with Kit Fisto.The character has been portrayed by Lily Nyamwasa in Episode III.
"Almec => Almec is a Mandalorian politician who serves as Prime Minister of Mandalore during the Clone Wars. A prominent supporter of Satine Kryze and her New Mandalorian government, he is imprisoned for his involvement in an illegal smuggling ring but is later freed and reinstated as a puppet leader after Darth Maul takes over the New Mandalorian capital city of Sundari. When Maul is later captured by Darth Sidious, Almec sends Mandalorian super commandos Gar Saxon and Rook Kast to rescue him. During the Siege of Mandalore, he is captured by Bo-Katan Kryze's force and is killed by Saxon when he attempts to relay information to Ahsoka, Rex, and Bo-Katan.The character has been voiced by Julian Holloway in The Clone Wars."
"Mas Amedda => Mas Amedda is the Chagrian Vice Chair of the Galactic Senate. He is Grand Vizier and head of the Imperial Ruling Council, installed by Gallius Rax as the puppet leader of the Empire following Palpatine's death. Amedda is also one of the few people to know about Palpatine's secret persona as Darth Sidious. Amedda formally surrenders the Empire to the New Republic. The character has been portrayed by Jerome Blake and David Bowers in Episodes I-III, and voiced by Stephen Stanton in The Clone Wars and The Bad Batch. His story has also been expanded in Aftermath: Life Debt and Aftermath: Empire's End."
"Maarva Andor => Maarva Andor is a human female who lived during the final decades of the Galactic Republic and into the era of the Galactic Empire. Alongside her husband, Clem, Maarva became the adoptive mother of Cassian Andor, whom they rescued while smuggling on the planet Kenari. The character has been portrayed by Fiona Shaw in Andor."
"Raymus Antilles => Raymus Antilles is captain of the CR90 corvette Tantive IV, where he is strangled to death by Darth Vader. Antilles was also the last master of C-3PO and R2-D2 before they fall under the ownership of Luke Skywalker. In the final days of the Republic, Antilles served as captain of the CR70 corvette Tantive III. The character has been portrayed by Peter Geddis in Episode IV, by Rohan Nichol in Episode III, and by Tim Beckmann in Rogue One."
"Ryder Azadi => Ryder Azadi is the former Governor of Lothal and a family friend to Ephraim and Mira Bridger. He secretly assisted them in their campaign against the Galactic Empire which led to their arrest. Ryder escaped prison, but his friends did not. He later met Ezra and Kanan on Lothal. After helping in a mission that also involved Princess Leia, Ryder decided to form a new Rebel cell on Lothal. He later pretends to betray the Rebels in order to lure Governor Pryce into a trap. During the final part of the battle, Ryder tries to get Pryce to come along quietly when the Imperial base begins to take off and explode to no avail, but Pryce chooses to die, staying loyal to the Empire until the end. After the liberation of Lothal, Ryder assisted in its reconstruction and assumed the governorship. The character has been voiced by Clancy Brown in Rebels, and Brown reprised his role in Ahsoka."
"Azmorigan => Azmorigan is a Jablogian crime lord and business partner of Vizago's. He was first tricked by Lando Calrissian into giving the entrepreneur a mining-purposed puffer pig and trading it for Hera, who then outsmarted Azmorigan and escaped from his ship, the Merchant One, to Calrissian and the Ghost crew. Azmorigan cornered them at Vizago's mining estate, intending to reclaim the puffer pig and Hera along the Ghost and its crew but was defeated there and is forced to flee. In The Wynkahthu Job, having formed an alliance with Hondo, with the two of them attacking an Imperial cargo ship only to have it become caught in the storms of a nearby planet, forcing them to call upon the Ghost crew for help. The salvage operation gets the rebels several proton bombs and an encounter with Imperial Sentry Droids, while Hondo only succeeds in unintentionally recovering one of his Ugnaughts. The character has been voiced by James Hong in Rebels."
"Ponda Baba => Ponda Baba is an Aqualish mercenary who attacks Luke Skywalker in the Mos Eisley cantina, and then gets his arm cut off by Obi-Wan Kenobi's lightsaber. He is an associate of Dr. Cornelius Evazan, who also antagonizes Luke Skywalker in the cantina. When the original Kenner action figure for Baba was released, the then-unnamed alien was called simply ""Walrus Man"".In Episode IV the character was portrayed by Tommy Ilsley.  In Rogue One, he is seen with Dr. Evazan on the streets of Jedha."
Val Beckett => Val Beckett is the wife and partner-in-crime of Tobias Beckett. She is killed during a failed Coaxium heist for the Crimson Dawn. The character has been portrayed by Thandiwe Newton in Solo.
"The Bendu => The Bendu is an ancient Force-wielder whose philosophy predates the Jedi Order; encountered by the rebels on the planet Atollon, where he describes himself as being ""the middle"" between the ashla, light side of the Force, and the bogan, dark side of the Force. The character has been voiced by Tom Baker in Rebels."
